Ciudad,Provincia,Producto_Regional,Producción_Toneladas,Índice_Industrialización
Cabanilla,Lampa,Kiwicha,3704,3.0
Arapa,Azángaro,Carne de llama,4975,2.1
Sandia,Sandia,Miel,294,1.4
Copani,Yunguyo,Cebolla,2854,8.8
Ayaviri,Melgar,Lácteos,5057,3.0
Ayaviri,Melgar,Quinua,4589,6.0
Crucero,Carabaya,Cacao,5382,9.4
Quilcapuncu,San Antonio de Putina,Papa,34276,8.9
Muñani,Azángaro,Kañiwa,4947,5.3
Copani,Yunguyo,Cebolla,8561,8.7
Tiquillaca,Puno,Cebolla,6354,8.4
Asillo,Azángaro,Oca,2427,6.9
Pomata,Chucuito,Ajo,4064,7.5
Pedro Vilca Apaza,San Antonio de Putina,Trucha,4980,9.2
Conima,Moho,Tarwi,9420,2.6
San Antón,Azángaro,Cebada,10036,3.4
Saman,Azángaro,Quinua,15822,9.2
San Gabán,Carabaya,Cebada,15075,5.4
Pedro Vilca Apaza,San Antonio de Putina,Carne de alpaca,2055,6.7
Unicachi,Yunguyo,Maíz,10634,7.4
Quilcapuncu,San Antonio de Putina,Lácteos,9564,5.2
Achaya,Azángaro,Kañiwa,2931,9.3
Cabanilla,Lampa,Tarwi,7930,8.8
Palca,Lampa,Cacao,8880,5.7
Asillo,Azángaro,Cebolla,10288,8.2
San Antón,Azángaro,Carne de llama,4322,8.0
Capachica,Puno,Olluco,3816,4.8
Mañazo,Puno,Fresa,3497,9.0
Vilque,Puno,Maíz,22993,4.3
Pomata,Chucuito,Papa,12046,9.1
Pomata,Chucuito,Olluco,3301,4.3
Huacullani,Chucuito,Tarwi,1942,8.0
Putina,San Antonio de Putina,Tarwi,2240,1.6
Ananea,San Antonio de Putina,Quinua,14511,4.3
Pucará,Lampa,Carne de alpaca,5783,5.5
Huancané,Huancané,Maíz,5095,6.2
Pedro Vilca Apaza,San Antonio de Putina,Quinua,18018,4.6
Phara,Sandia,Kañiwa,8906,8.2
Crucero,Carabaya,Papa,22674,3.7
Huancané,Huancané,Oca,6468,2.2
Crucero,Carabaya,Cacao,1935,9.3
Mañazo,Puno,Oca,7645,3.8
Pichacani,Puno,Kiwicha,5230,5.3
Santa Rosa,El Collao,Kiwicha,5899,7.0
Cabanilla,Lampa,Papa,44927,4.9
Juli,Chucuito,Carne de alpaca,4411,6.6
Achaya,Azángaro,Ajo,3442,2.6
Pucará,Lampa,Papa,33503,8.8
Pedro Vilca Apaza,San Antonio de Putina,Lácteos,12891,5.0
Sandia,Sandia,Lácteos,13982,6.2
Asillo,Azángaro,Kiwicha,5002,4.5
Copani,Yunguyo,Carne de llama,1176,6.2
Unicachi,Yunguyo,Tarwi,3429,6.7
Sandia,Sandia,Café,8136,1.8
Achaya,Azángaro,Kiwicha,11164,4.7
Yunguyo,Yunguyo,Oca,4720,2.9
Ananea,San Antonio de Putina,Maca,2845,1.8
Phara,Sandia,Café,6312,3.9
Phara,Sandia,Olluco,8178,3.2
Acora,Puno,Cebada,15907,8.8
Coata,Puno,Oca,8058,2.0
Taraco,Huancané,Trigo,8794,1.6
San Antonio,Puno,Trucha,1619,7.2
Asillo,Azángaro,Trucha,5153,3.2
Antauta,Melgar,Ajo,663,4.8
Huacullani,Chucuito,Ajo,632,2.7
Juliaca,San Román,Miel,1985,7.1
Yanahuaya,Sandia,Ajo,1212,2.0
Ollachea,Carabaya,Quinua,4466,9.6
Pichacani,Puno,Lácteos,13609,5.2
Puno,Puno,Kañiwa,2002,5.9
Huacullani,Chucuito,Maca,961,2.1
Capachica,Puno,Cebolla,13403,7.6
Pichacani,Puno,Café,2095,6.4
Muñani,Azángaro,Ajo,2507,2.8
Saman,Azángaro,Oca,3935,9.4
Copani,Yunguyo,Trigo,23832,2.2
Pomata,Chucuito,Maíz,21911,7.4
Asillo,Azángaro,Trigo,20256,7.3
Quilcapuncu,San Antonio de Putina,Oca,1211,7.9
Desaguadero,Chucuito,Papa,30381,6.9
San Gabán,Carabaya,Carne de llama,4894,3.8
Antauta,Melgar,Maíz,25784,2.4
San Antonio,Puno,Cacao,4260,4.6
Vilquechico,Huancané,Fresa,1407,6.6
San Juan del Oro,Sandia,Cebada,4662,5.3
Mañazo,Puno,Kañiwa,6936,9.7
Phara,Sandia,Quinua,12200,3.9
Lampa,Lampa,Cebolla,11422,7.6
Tiquillaca,Puno,Carne de llama,2695,4.7
Conima,Moho,Lácteos,13154,9.3
Conima,Moho,Tuna,1989,8.2
Puno,Puno,Oca,4385,5.4
Muñani,Azángaro,Quinua,6725,6.2
Phara,Sandia,Carne de alpaca,911,1.5
Copani,Yunguyo,Maíz,5935,5.1
Vilque,Puno,Tuna,2112,7.9
Tilali,Moho,Cebolla,3209,7.9
Nuñoa,Melgar,Kañiwa,8263,9.6
Lampa,Lampa,Olluco,6424,4.5
Phara,Sandia,Miel,974,5.1
Ollachea,Carabaya,Kiwicha,9214,4.9
San Juan del Oro,Sandia,Papa,38590,5.9
Juli,Chucuito,Miel,1693,5.1
Muñani,Azángaro,Trucha,3264,4.2
Ollachea,Carabaya,Fresa,667,6.7
Ollachea,Carabaya,Kañiwa,5943,6.0
San Gabán,Carabaya,Quinua,4665,6.7
Ananea,San Antonio de Putina,Lácteos,10547,1.7
Huacullani,Chucuito,Fresa,1030,6.4
Huacullani,Chucuito,Maca,5026,3.7
Coata,Puno,Kañiwa,2737,2.4
Pucará,Lampa,Olluco,8730,3.1
Huata,Puno,Quinua,17821,5.2
Capachica,Puno,Café,1561,7.3
Juli,Chucuito,Quinua,3495,5.3
Capachica,Puno,Kiwicha,2312,3.1
Huancané,Huancané,Carne de llama,3591,8.7
Desaguadero,Chucuito,Carne de llama,2829,2.9
Saman,Azángaro,Cacao,8356,6.6
Coata,Puno,Ajo,5106,4.3
Ayaviri,Melgar,Trucha,4194,6.4
Capachica,Puno,Kañiwa,5682,8.4
San Antón,Azángaro,Tuna,4943,8.5
Taraco,Huancané,Papa,23175,2.3
Vilque,Puno,Cebolla,5216,1.6
Crucero,Carabaya,Papa,30225,8.6
Huata,Puno,Tarwi,2500,5.6
San Gabán,Carabaya,Trucha,7287,2.3
Desaguadero,Chucuito,Cacao,4529,8.1
Coata,Puno,Lácteos,7514,5.8
Yanahuaya,Sandia,Tarwi,3083,6.3
Chucuito,Puno,Tuna,591,1.7
San Gabán,Carabaya,Trigo,6857,3.3
Ollachea,Carabaya,Cacao,8685,6.4
Nuñoa,Melgar,Cebada,13817,6.4
San Gabán,Carabaya,Tarwi,8460,8.5
Puno,Puno,Café,9976,2.7
Pichacani,Puno,Tuna,2436,1.5
Ananea,San Antonio de Putina,Quinua,8689,3.6
Palca,Lampa,Kiwicha,6111,6.1
San Antón,Azángaro,Ajo,5216,2.8
San Antonio,Puno,Ajo,2467,5.1
Ollachea,Carabaya,Cebada,23439,2.7
Asillo,Azángaro,Tuna,984,3.5
San Antón,Azángaro,Maca,1193,4.8
Juli,Chucuito,Olluco,6716,5.7
Huancané,Huancané,Cacao,5241,8.3
Pedro Vilca Apaza,San Antonio de Putina,Papa,19422,1.9
Capachica,Puno,Cebolla,11727,2.4
Chucuito,Puno,Olluco,2176,9.3
Pedro Vilca Apaza,San Antonio de Putina,Cebada,7155,9.5
Juli,Chucuito,Lácteos,11528,7.5
Muñani,Azángaro,Fresa,1125,3.3
Desaguadero,Chucuito,Carne de alpaca,5385,6.6
San Juan del Oro,Sandia,Oca,4088,6.1
Juli,Chucuito,Trucha,5183,7.6
Achaya,Azángaro,Carne de alpaca,1609,6.7
Santa Rosa,El Collao,Oca,9096,3.0
Asillo,Azángaro,Carne de llama,2867,4.0
Palca,Lampa,Kiwicha,10753,7.6
Cabanilla,Lampa,Miel,1508,7.7
Desaguadero,Chucuito,Trucha,2582,3.0
Palca,Lampa,Quinua,16405,4.6
Pedro Vilca Apaza,San Antonio de Putina,Cebolla,1294,3.7
Huacullani,Chucuito,Tarwi,4880,8.7
Capachica,Puno,Lácteos,12163,9.4
Arapa,Azángaro,Olluco,1438,1.7
Muñani,Azángaro,Olluco,3749,5.5
Juliaca,San Román,Tuna,4847,1.4
Tilali,Moho,Cebolla,11554,7.9
Putina,San Antonio de Putina,Miel,587,3.1
Tilali,Moho,Kañiwa,4157,6.2
Ilave,El Collao,Cacao,5927,9.1
Mañazo,Puno,Papa,15991,5.6
Juliaca,San Román,Ajo,5780,2.3
Macusani,Carabaya,Cacao,5209,4.0
Azángaro,Azángaro,Tuna,873,2.0
Puno,Puno,Olluco,2692,6.6
Pedro Vilca Apaza,San Antonio de Putina,Maíz,15062,3.6
Orurillo,Melgar,Maca,3880,4.3
Arapa,Azángaro,Fresa,3942,2.1
San Antón,Azángaro,Cebada,3904,5.8
Moho,Moho,Maca,4197,6.2
Nuñoa,Melgar,Carne de alpaca,2357,6.5
Ollachea,Carabaya,Kiwicha,7948,3.4
Asillo,Azángaro,Cacao,7135,7.2
Nuñoa,Melgar,Cebolla,1672,5.4
Juli,Chucuito,Kañiwa,1436,4.6
Juliaca,San Román,Lácteos,3083,4.6
Desaguadero,Chucuito,Maca,2929,6.4
Huata,Puno,Miel,934,6.9
Pichacani,Puno,Tuna,1989,4.0
San Antón,Azángaro,Maca,718,1.7
Desaguadero,Chucuito,Trigo,9496,6.1
Juliaca,San Román,Miel,693,7.8
Palca,Lampa,Tarwi,8662,3.8
Putina,San Antonio de Putina,Lácteos,12942,4.0
Pichacani,Puno,Cacao,7767,6.1
Puno,Puno,Oca,1322,4.4
Ayaviri,Melgar,Kiwicha,6955,5.4
Arapa,Azángaro,Miel,512,5.3
Capachica,Puno,Cebada,15012,6.6
Taraco,Huancané,Carne de alpaca,4430,1.8
Acora,Puno,Miel,2199,7.3
Quilcapuncu,San Antonio de Putina,Lácteos,5734,5.5
Huancané,Huancané,Fresa,3534,5.3
Pichacani,Puno,Maca,3562,8.0
Chucuito,Puno,Oca,4251,8.2
Ilave,El Collao,Tuna,1049,9.2
Ayaviri,Melgar,Cebolla,14288,5.6
Vilque,Puno,Carne de alpaca,893,1.4
Saman,Azángaro,Papa,49305,7.2
Lampa,Lampa,Oca,8330,2.1
Phara,Sandia,Cebolla,10656,4.2
Huacullani,Chucuito,Papa,32044,2.4
Taraco,Huancané,Carne de alpaca,3678,2.2
Conima,Moho,Miel,990,1.5
Juli,Chucuito,Trucha,6682,8.3
Capachica,Puno,Cebada,16369,8.2
Lampa,Lampa,Maca,729,6.1
Santa Rosa,El Collao,Tarwi,3484,3.2
Ananea,San Antonio de Putina,Café,3137,8.9
Yanahuaya,Sandia,Quinua,11570,1.7
Copani,Yunguyo,Olluco,4438,5.9
Pucará,Lampa,Kiwicha,5606,3.2
Desaguadero,Chucuito,Kiwicha,10624,2.9
Asillo,Azángaro,Kiwicha,9877,8.7
Arapa,Azángaro,Papa,23830,1.6
Vilque,Puno,Maca,4171,7.6
Muñani,Azángaro,Tuna,1995,9.1
Quilcapuncu,San Antonio de Putina,Quinua,10822,6.8
Asillo,Azángaro,Papa,23771,4.3
Juliaca,San Román,Papa,36610,2.0
Nuñoa,Melgar,Maíz,12579,1.8
Azángaro,Azángaro,Oca,6270,4.2
Capaso,El Collao,Lácteos,14390,7.1
Pomata,Chucuito,Maíz,22490,8.1
Vilquechico,Huancané,Maca,4250,2.1
Puno,Puno,Lácteos,11180,7.4
Huacullani,Chucuito,Ajo,4685,4.8
Coata,Puno,Café,3049,9.3
Putina,San Antonio de Putina,Fresa,2128,4.1
Ilave,El Collao,Ajo,2834,5.3
Nuñoa,Melgar,Café,3173,8.1
San Antón,Azángaro,Maíz,14416,8.0
Copani,Yunguyo,Maca,3649,9.0
Pedro Vilca Apaza,San Antonio de Putina,Oca,4935,6.8
Pilcuyo,El Collao,Papa,44577,3.3
Tilali,Moho,Kiwicha,4023,6.6
Pilcuyo,El Collao,Papa,35782,6.3
Juliaca,San Román,Maca,3077,2.6
Huacullani,Chucuito,Café,3358,7.5
Putina,San Antonio de Putina,Carne de llama,3338,8.4
Lampa,Lampa,Quinua,19322,9.3
Pomata,Chucuito,Café,4179,7.0
Santa Rosa,El Collao,Kiwicha,4083,6.0
Unicachi,Yunguyo,Carne de alpaca,2759,3.1
Antauta,Melgar,Tarwi,8910,9.3
Huacullani,Chucuito,Tuna,1616,4.0
Quilcapuncu,San Antonio de Putina,Kiwicha,2898,5.2
Pedro Vilca Apaza,San Antonio de Putina,Ajo,900,8.4
Taraco,Huancané,Lácteos,11881,7.7
Pilcuyo,El Collao,Kiwicha,7502,5.5
Pucará,Lampa,Trigo,6642,6.4
Palca,Lampa,Miel,2274,8.0
Asillo,Azángaro,Tuna,4545,7.6
Pucará,Lampa,Carne de llama,3531,8.8
San Juan del Oro,Sandia,Cebada,21651,8.3
San Gabán,Carabaya,Oca,1878,9.4
Desaguadero,Chucuito,Miel,972,1.9
Puno,Puno,Maíz,29501,3.3
Cabanilla,Lampa,Cacao,3895,9.1
Huata,Puno,Trigo,11122,6.3
Capaso,El Collao,Maíz,17156,5.7
Tilali,Moho,Tuna,4668,9.7
Lampa,Lampa,Maca,2580,1.6
Yunguyo,Yunguyo,Olluco,3637,8.5
Mañazo,Puno,Cacao,6965,8.4
San Antonio,Puno,Cacao,5803,3.1
Taraco,Huancané,Kañiwa,7223,9.2
Tiquillaca,Puno,Trigo,9689,7.2
Capachica,Puno,Oca,5983,7.7
Putina,San Antonio de Putina,Oca,8463,9.0
Capaso,El Collao,Lácteos,10321,2.8
Unicachi,Yunguyo,Cacao,6719,7.5
Azángaro,Azángaro,Tuna,4170,9.3
Coata,Puno,Cacao,824,7.0
Tiquillaca,Puno,Fresa,458,6.8
Antauta,Melgar,Papa,23251,5.2
Ilave,El Collao,Cebolla,4095,4.3
Chucuito,Puno,Cebada,22010,3.2
Palca,Lampa,Kañiwa,4338,7.4
San Antón,Azángaro,Tarwi,1788,2.3
Acora,Puno,Lácteos,13977,9.0
Arapa,Azángaro,Lácteos,2198,4.2
Ilave,El Collao,Café,2976,2.2
Quilcapuncu,San Antonio de Putina,Lácteos,2930,9.3
Mañazo,Puno,Kiwicha,3910,2.7
Sandia,Sandia,Maca,3722,2.3
Muñani,Azángaro,Oca,1942,7.9
Macusani,Carabaya,Miel,575,5.3
Palca,Lampa,Carne de alpaca,5488,1.6
Achaya,Azángaro,Tuna,2704,4.2
San Antón,Azángaro,Kañiwa,1444,4.5
Achaya,Azángaro,Tuna,3558,2.7
San Juan del Oro,Sandia,Cacao,5579,8.2
Antauta,Melgar,Trigo,15693,3.3
Capaso,El Collao,Trucha,1254,3.6
Juli,Chucuito,Trucha,6287,8.4
Sandia,Sandia,Kañiwa,5136,5.8
San Antón,Azángaro,Quinua,14014,7.2
Copani,Yunguyo,Cebolla,5349,2.1
Coata,Puno,Cebolla,6330,5.2
Juli,Chucuito,Café,1073,5.3
Ananea,San Antonio de Putina,Olluco,3564,3.1
Pedro Vilca Apaza,San Antonio de Putina,Maca,1554,8.8
Palca,Lampa,Cebada,6636,3.8
San Juan del Oro,Sandia,Café,2404,9.7
Huancané,Huancané,Cebolla,14557,8.7
Pucará,Lampa,Lácteos,2147,6.9
Sandia,Sandia,Tarwi,3853,3.9
Acora,Puno,Trigo,5362,2.7
Tiquillaca,Puno,Papa,44188,7.5
San Gabán,Carabaya,Olluco,2072,9.1
Chucuito,Puno,Carne de llama,4934,2.1
Pilcuyo,El Collao,Ajo,3341,2.5
Conima,Moho,Tarwi,7280,3.9
Desaguadero,Chucuito,Ajo,1999,3.8
Quilcapuncu,San Antonio de Putina,Maca,4464,4.5
Vilque,Puno,Lácteos,4418,6.4
Ananea,San Antonio de Putina,Maca,1095,5.3
Ilave,El Collao,Cebada,23972,5.0
Pedro Vilca Apaza,San Antonio de Putina,Olluco,2831,1.9
Unicachi,Yunguyo,Quinua,10077,8.6
Mañazo,Puno,Cacao,7429,5.2
Capaso,El Collao,Kañiwa,3888,7.4
San Juan del Oro,Sandia,Papa,33115,4.6
Saman,Azángaro,Maca,2616,4.6
San Gabán,Carabaya,Trucha,2792,3.2
Pomata,Chucuito,Trucha,2680,5.8
Vilquechico,Huancané,Lácteos,11985,2.1
Quilcapuncu,San Antonio de Putina,Maca,6965,6.1
Quilcapuncu,San Antonio de Putina,Kañiwa,8558,7.8
Vilquechico,Huancané,Fresa,3272,8.5
Achaya,Azángaro,Oca,5128,9.0
Puno,Puno,Maca,562,3.6
Tilali,Moho,Trigo,14801,4.5
San Antón,Azángaro,Lácteos,14347,4.1
Pedro Vilca Apaza,San Antonio de Putina,Tuna,1688,9.1
Huacullani,Chucuito,Cacao,5954,3.1
San Juan del Oro,Sandia,Ajo,5092,8.5
Coata,Puno,Fresa,2619,8.9
Unicachi,Yunguyo,Cebada,21694,2.0
Vilque,Puno,Tuna,2662,8.1
Capachica,Puno,Lácteos,9997,8.4
Lampa,Lampa,Maca,2708,6.6
Phara,Sandia,Miel,2272,2.2
Sandia,Sandia,Tarwi,3811,4.4
Santa Rosa,El Collao,Miel,1833,4.7
Saman,Azángaro,Trigo,7227,6.1
Chucuito,Puno,Maca,2293,4.2
Santa Rosa,El Collao,Kiwicha,5948,9.6
Orurillo,Melgar,Carne de alpaca,5569,4.7
Pedro Vilca Apaza,San Antonio de Putina,Quinua,5496,4.5
Lampa,Lampa,Cebolla,11132,3.7
Moho,Moho,Miel,1056,6.9
Nuñoa,Melgar,Quinua,3407,5.9
Crucero,Carabaya,Tarwi,2970,8.8
Phara,Sandia,Kiwicha,6012,6.5
Conima,Moho,Maca,5842,5.6
Macusani,Carabaya,Lácteos,3994,2.0
Taraco,Huancané,Carne de alpaca,3553,3.4
Lampa,Lampa,Carne de alpaca,2143,9.6
Pomata,Chucuito,Maca,5279,7.9
Desaguadero,Chucuito,Maíz,29436,6.1
Palca,Lampa,Cacao,1616,3.3
Mañazo,Puno,Carne de llama,590,9.0
Orurillo,Melgar,Papa,39850,4.7
Puno,Puno,Oca,6410,3.3
Juli,Chucuito,Trucha,3156,2.3
Conima,Moho,Quinua,14008,6.6
Moho,Moho,Trucha,2605,5.9
Arapa,Azángaro,Trucha,3095,6.7
Pomata,Chucuito,Trucha,2071,7.5
San Juan del Oro,Sandia,Cebada,8560,8.3
Mañazo,Puno,Maca,4086,6.8
Putina,San Antonio de Putina,Kañiwa,6373,4.3
Saman,Azángaro,Miel,531,9.0
Capachica,Puno,Cebada,21065,4.6
Arapa,Azángaro,Carne de alpaca,4250,9.1
Conima,Moho,Kañiwa,4621,6.3
Conima,Moho,Papa,46023,6.8
Acora,Puno,Kiwicha,2963,6.6
Acora,Puno,Carne de llama,3625,6.8
Nuñoa,Melgar,Oca,5886,8.8
Huacullani,Chucuito,Maca,700,3.1
San Antonio,Puno,Fresa,1583,4.5
Pedro Vilca Apaza,San Antonio de Putina,Trigo,23141,8.7
Putina,San Antonio de Putina,Maca,3691,1.9
Pedro Vilca Apaza,San Antonio de Putina,Lácteos,7094,9.2
Yanahuaya,Sandia,Cebolla,4298,6.5
Mañazo,Puno,Kañiwa,5694,7.9
Vilque,Puno,Trigo,16303,3.6
Muñani,Azángaro,Fresa,3250,5.1
Sandia,Sandia,Lácteos,12167,3.0
Conima,Moho,Cebada,20588,4.8
Desaguadero,Chucuito,Maíz,8596,8.3
Orurillo,Melgar,Trigo,15613,6.5
Arapa,Azángaro,Trucha,2676,5.6
Lampa,Lampa,Miel,2037,2.9
Crucero,Carabaya,Carne de alpaca,1177,3.2
Arapa,Azángaro,Maca,5685,8.8
San Antón,Azángaro,Kañiwa,2754,5.0
Yunguyo,Yunguyo,Café,6214,9.6
Taraco,Huancané,Café,7615,4.6
Antauta,Melgar,Kiwicha,10241,4.5
Huancané,Huancané,Papa,23954,5.4
Tiquillaca,Puno,Carne de alpaca,3804,7.4
San Antonio,Puno,Trigo,22717,3.4
Quilcapuncu,San Antonio de Putina,Carne de llama,2756,8.7
Crucero,Carabaya,Cacao,7945,9.3
San Antón,Azángaro,Oca,3993,7.9
Yunguyo,Yunguyo,Maíz,25982,3.0
San Juan del Oro,Sandia,Trucha,3322,6.9
Copani,Yunguyo,Maíz,19051,8.1
Phara,Sandia,Café,6375,2.0
Putina,San Antonio de Putina,Trigo,15108,3.5
Orurillo,Melgar,Maca,1139,9.0
Ollachea,Carabaya,Kiwicha,7599,5.6
Nuñoa,Melgar,Trucha,6715,8.0
Conima,Moho,Café,3964,4.9
Arapa,Azángaro,Tarwi,3734,7.9
Vilque,Puno,Quinua,5693,9.1
Saman,Azángaro,Miel,348,4.2
Coata,Puno,Quinua,11870,3.9
Cabanilla,Lampa,Papa,9420,5.9
Moho,Moho,Quinua,5215,2.6
Puno,Puno,Carne de alpaca,3516,9.1
Tilali,Moho,Fresa,2907,7.3
Copani,Yunguyo,Maca,2163,3.2
Pucará,Lampa,Cebolla,4598,3.3
Quilcapuncu,San Antonio de Putina,Trucha,6037,2.0
Vilque,Puno,Fresa,2393,6.9
Pucará,Lampa,Maíz,23831,2.9
Puno,Puno,Cebada,3612,2.0
Juli,Chucuito,Tuna,3854,2.4
Ayaviri,Melgar,Miel,227,7.1
Moho,Moho,Trigo,11376,1.6
Huata,Puno,Quinua,11708,8.0
Asillo,Azángaro,Kañiwa,7945,2.5
Moho,Moho,Cebolla,7358,6.7
Ilave,El Collao,Tarwi,3944,8.7
Vilque,Puno,Quinua,11629,7.3
Ollachea,Carabaya,Tarwi,7922,5.5
Asillo,Azángaro,Kañiwa,1580,5.1
Taraco,Huancané,Ajo,4734,3.5
Tiquillaca,Puno,Trigo,20232,6.0
Muñani,Azángaro,Carne de alpaca,1959,8.7
Juliaca,San Román,Fresa,2076,6.8
Capaso,El Collao,Carne de alpaca,3408,6.5
Moho,Moho,Café,8924,6.1
Capaso,El Collao,Quinua,14900,4.1
Ayaviri,Melgar,Kiwicha,9305,4.5
Azángaro,Azángaro,Café,10358,2.6
Vilque,Puno,Kiwicha,8375,2.3
Pomata,Chucuito,Trigo,9716,8.6
Ollachea,Carabaya,Cebolla,2144,8.1
Huacullani,Chucuito,Carne de alpaca,670,4.3
Achaya,Azángaro,Lácteos,4914,6.1
Pucará,Lampa,Maíz,27884,6.7
Taraco,Huancané,Lácteos,13931,2.8
Ananea,San Antonio de Putina,Kañiwa,4122,2.0
Pichacani,Puno,Tarwi,2521,4.0
Chucuito,Puno,Cebolla,10831,7.5
Capachica,Puno,Trucha,4520,6.5
Puno,Puno,Oca,9964,7.5
Phara,Sandia,Kiwicha,5357,7.4
Ananea,San Antonio de Putina,Maca,2431,5.9
San Juan del Oro,Sandia,Maca,4098,6.7
Ayaviri,Melgar,Cacao,8156,3.8
Coata,Puno,Lácteos,9888,7.6
Tiquillaca,Puno,Tarwi,7355,4.9
Pichacani,Puno,Carne de llama,4566,5.4
Pichacani,Puno,Cebolla,1140,5.5
Tilali,Moho,Miel,1180,3.6
Pilcuyo,El Collao,Maca,4258,6.4
San Antón,Azángaro,Fresa,3114,3.6
Puno,Puno,Cacao,2089,9.5
Muñani,Azángaro,Fresa,1124,7.9
Huacullani,Chucuito,Café,3806,7.7
Taraco,Huancané,Trucha,4538,5.7
Yanahuaya,Sandia,Oca,2337,7.9
Pichacani,Puno,Trigo,16373,3.9
Sandia,Sandia,Café,8179,8.4
Ollachea,Carabaya,Ajo,4993,7.6
Achaya,Azángaro,Maíz,4488,7.7
Yunguyo,Yunguyo,Cebolla,3855,7.9
Huata,Puno,Trigo,19527,5.9
Santa Rosa,El Collao,Café,10484,2.1
San Juan del Oro,Sandia,Café,10131,6.0
Ayaviri,Melgar,Fresa,1710,6.9
Orurillo,Melgar,Oca,3981,6.6
Orurillo,Melgar,Olluco,8280,7.8
Chucuito,Puno,Cebada,20614,5.4
Coata,Puno,Olluco,8727,2.7
Vilque,Puno,Oca,5195,9.1
Conima,Moho,Carne de alpaca,5960,5.8
Putina,San Antonio de Putina,Oca,3158,4.8
Mañazo,Puno,Kañiwa,5814,4.9
San Juan del Oro,Sandia,Quinua,5623,3.7
Ilave,El Collao,Tuna,4495,2.6
Achaya,Azángaro,Café,3890,3.8
Putina,San Antonio de Putina,Olluco,2543,4.5
Tiquillaca,Puno,Tuna,4441,5.7
Pedro Vilca Apaza,San Antonio de Putina,Fresa,1167,6.3
Copani,Yunguyo,Miel,1353,2.1
Conima,Moho,Oca,4682,4.2
Taraco,Huancané,Lácteos,2179,1.8
Saman,Azángaro,Oca,5245,7.1
Mañazo,Puno,Carne de alpaca,1893,8.2
Capaso,El Collao,Fresa,2307,4.3
Tiquillaca,Puno,Fresa,3909,5.7
Capaso,El Collao,Trigo,18894,4.9
Macusani,Carabaya,Quinua,5883,5.5
Conima,Moho,Miel,510,8.3
Achaya,Azángaro,Kañiwa,1895,3.0
Crucero,Carabaya,Cacao,7055,5.0
San Gabán,Carabaya,Trucha,6873,8.9
Unicachi,Yunguyo,Cebolla,9023,6.2
Unicachi,Yunguyo,Olluco,4197,4.4
Quilcapuncu,San Antonio de Putina,Olluco,6049,9.6
Tilali,Moho,Papa,42107,4.7
Pomata,Chucuito,Tuna,3050,2.0
San Juan del Oro,Sandia,Café,5074,9.2
Capachica,Puno,Cebolla,10475,3.2
Asillo,Azángaro,Lácteos,8936,2.8
Ananea,San Antonio de Putina,Trucha,6441,7.6
Huancané,Huancané,Carne de alpaca,1567,2.0
San Juan del Oro,Sandia,Olluco,5962,7.0
Pedro Vilca Apaza,San Antonio de Putina,Tuna,2877,7.8
Cabanilla,Lampa,Carne de alpaca,5385,7.8
Acora,Puno,Kañiwa,7504,1.9
Capaso,El Collao,Miel,1132,1.5
Ilave,El Collao,Quinua,17264,4.5
San Antón,Azángaro,Olluco,5674,4.9
Desaguadero,Chucuito,Miel,825,7.5
San Gabán,Carabaya,Kañiwa,6207,4.7
San Juan del Oro,Sandia,Maíz,27642,2.0
Quilcapuncu,San Antonio de Putina,Cebolla,12832,8.7
Acora,Puno,Cebada,9553,3.8
Quilcapuncu,San Antonio de Putina,Carne de llama,1933,2.7
Ollachea,Carabaya,Kiwicha,4949,8.3
Juli,Chucuito,Cebada,5662,1.7
Conima,Moho,Ajo,2044,2.9
Chucuito,Puno,Ajo,2211,2.0
Phara,Sandia,Kiwicha,10683,4.4
Azángaro,Azángaro,Maíz,7978,6.3
Moho,Moho,Trigo,12705,2.7
Achaya,Azángaro,Miel,2282,4.6
Taraco,Huancané,Cebada,6579,5.9
Juli,Chucuito,Miel,709,4.0
Ollachea,Carabaya,Carne de alpaca,1527,4.5
Pilcuyo,El Collao,Miel,1252,9.7
Nuñoa,Melgar,Cebolla,5386,5.1
Juli,Chucuito,Maca,2683,1.6
Desaguadero,Chucuito,Maca,5364,2.7
Azángaro,Azángaro,Cacao,5851,3.9
Putina,San Antonio de Putina,Papa,25771,8.1
Muñani,Azángaro,Trucha,5841,8.2
Huata,Puno,Carne de alpaca,5918,5.1
San Antonio,Puno,Trucha,2590,4.7
Tilali,Moho,Maíz,9451,9.1
Orurillo,Melgar,Cebolla,7926,6.2
San Antonio,Puno,Maca,3910,5.7
Mañazo,Puno,Trucha,2089,3.6
Cabanilla,Lampa,Fresa,1141,3.2
Yanahuaya,Sandia,Lácteos,5217,6.5
Puno,Puno,Carne de alpaca,2097,1.6
Palca,Lampa,Kañiwa,3754,6.3
Crucero,Carabaya,Trucha,7647,8.5
Pilcuyo,El Collao,Carne de alpaca,2289,2.9
Quilcapuncu,San Antonio de Putina,Maíz,26955,8.4
Vilquechico,Huancané,Maíz,14299,5.4
Quilcapuncu,San Antonio de Putina,Kiwicha,2081,5.2
Santa Rosa,El Collao,Maíz,20936,5.6
Macusani,Carabaya,Cebada,12319,6.0
Yunguyo,Yunguyo,Quinua,15139,7.9
Moho,Moho,Cebada,9548,6.5
Phara,Sandia,Quinua,7540,6.5
Azángaro,Azángaro,Tuna,1794,4.4
